timestamp,datetime,open,high,low,close,volume,funding_rate
1753380000,2025-07-24 18:00:00,119198,119494,118981,119121,905.83767,NaN
1753383600,2025-07-24 19:00:00,119122,119417,118978,119027,511.93912,NaN
1753387200,2025-07-24 20:00:00,119026,119069,118805,118806,565.51138,NaN
1753390800,2025-07-24 21:00:00,118806,118878,118570,118614,457.9157,NaN
1753394400,2025-07-24 22:00:00,118614,118711,118233,118349,730.18597,NaN
1753398000,2025-07-24 23:00:00,118349,118525,118220,118378,917.11456,NaN
1753401600,2025-07-25 00:00:00,118379,118530,117677,117733,1647.73381,NaN
1753405200,2025-07-25 01:00:00,117733,117848,117300,117456,1966.36261,NaN
1753408800,2025-07-25 02:00:00,117456,117474,116400,116410,5167.14861,NaN
1753412400,2025-07-25 03:00:00,116410,116498,115400,115541,7885.43797,NaN
1753416000,2025-07-25 04:00:00,115540,116267,115233,116214,4596.71283,NaN
1753419600,2025-07-25 05:00:00,116214,116214,115396,115629,2879.99465,NaN
1753423200,2025-07-25 06:00:00,115630,115634,115315,115436,713.47658,NaN
1753426800,2025-07-25 07:00:00,115435,116096,114860,115473,4586.57718,NaN
1753430400,2025-07-25 08:00:00,115474,116163,115172,115340,3474.26592,NaN
1753434000,2025-07-25 09:00:00,115341,116150,115086,116129,3502.85209,NaN
1753437600,2025-07-25 10:00:00,116129,116596,116080,116381,1564.2487,NaN
1753441200,2025-07-25 11:00:00,116381,116823,116381,116599,1393.24124,NaN
1753444800,2025-07-25 12:00:00,116600,116710,116002,116167,1516.52327,NaN
1753448400,2025-07-25 13:00:00,116168,116680,115637,116320,2137.2579,NaN
1753452000,2025-07-25 14:00:00,116320,116387,115008,115050,2338.79222,NaN
1753455600,2025-07-25 15:00:00,115050,115957,115007,115818,1402.63249,NaN
1753459200,2025-07-25 16:00:00,115818,116286,115536,116266,1147.49462,NaN
1753462800,2025-07-25 17:00:00,116266,116405,115932,116108,897.61976,NaN
1753466400,2025-07-25 18:00:00,116109,116640,116108,116573,713.6236,NaN
1753470000,2025-07-25 19:00:00,116573,117075,116484,116773,1030.65732,NaN
1753473600,2025-07-25 20:00:00,116773,117400,116617,117132,1978.43976,NaN
1753477200,2025-07-25 21:00:00,117133,117475,117050,117314,1339.35035,NaN
1753480800,2025-07-25 22:00:00,117314,117500,117214,117383,819.68257,NaN
1753484400,2025-07-25 23:00:00,117383,117750,117271,117726,1472.46219,NaN
1753488000,2025-07-26 00:00:00,117727,117727,117408,117597,1851.88527,NaN
1753491600,2025-07-26 01:00:00,117597,117650,117200,117224,1305.85835,NaN
