time_open,time_close,open,high,low,close,volume,num_trades
1753380000000,1753383599999,119198.0,119494.0,118981.0,119121.0,905.83767,12634
1753383600000,1753387199999,119122.0,119417.0,118978.0,119027.0,511.93912,14597
1753387200000,1753390799999,119026.0,119069.0,118805.0,118806.0,565.51138,7249
1753390800000,1753394399999,118806.0,118878.0,118570.0,118614.0,457.9157,6774
1753394400000,1753397999999,118614.0,118711.0,118233.0,118349.0,730.18597,7975
1753398000000,1753401599999,118349.0,118525.0,118220.0,118378.0,917.11456,9882
1753401600000,1753405199999,118379.0,118530.0,117677.0,117733.0,1647.73381,14727
1753405200000,1753408799999,117733.0,117848.0,117300.0,117456.0,1966.36261,16387
1753408800000,1753412399999,117456.0,117474.0,116400.0,116410.0,5167.14861,26585
1753412400000,1753415999999,116410.0,116498.0,115400.0,115541.0,7885.43797,47058
1753416000000,1753419599999,115540.0,116267.0,115233.0,116214.0,4596.71283,36102
1753419600000,1753423199999,116214.0,116214.0,115396.0,115629.0,2879.99465,21022
1753423200000,1753426799999,115630.0,115634.0,115315.0,115436.0,713.47658,12502
1753426800000,1753430399999,115435.0,116096.0,114860.0,115473.0,4586.57718,30874
1753430400000,1753433999999,115474.0,116163.0,115172.0,115340.0,3474.26592,32595
1753434000000,1753437599999,115341.0,116150.0,115086.0,116129.0,3502.85209,24098
1753437600000,1753441199999,116129.0,116596.0,116080.0,116381.0,1564.2487,18694
1753441200000,1753444799999,116381.0,116823.0,116381.0,116599.0,1393.24124,15877
1753444800000,1753448399999,116600.0,116710.0,116002.0,116167.0,1516.52327,20824
1753448400000,1753451999999,116168.0,116680.0,115637.0,116320.0,2137.2579,24036
1753452000000,1753455599999,116320.0,116387.0,115008.0,115050.0,2338.79222,29571
1753455600000,1753459199999,115050.0,115957.0,115007.0,115818.0,1402.63249,28865
1753459200000,1753462799999,115818.0,116286.0,115536.0,116266.0,1147.49462,18490
1753462800000,1753466399999,116266.0,116405.0,115932.0,116108.0,897.61976,15029
1753466400000,1753469999999,116109.0,116640.0,116108.0,116573.0,713.6236,9587
1753470000000,1753473599999,116573.0,117075.0,116484.0,116773.0,1030.65732,14588
1753473600000,1753477199999,116773.0,117400.0,116617.0,117132.0,1978.43976,18375
1753477200000,1753480799999,117133.0,117475.0,117050.0,117314.0,1339.35035,14770
1753480800000,1753484399999,117314.0,117500.0,117214.0,117383.0,819.68257,8834
1753484400000,1753487999999,117383.0,117750.0,117271.0,117726.0,1472.46219,11104
1753488000000,1753491599999,117727.0,117727.0,117408.0,117597.0,1851.88527,13246
1753491600000,1753495199999,117597.0,117650.0,117200.0,117224.0,1305.85835,9887
1753495200000,1753498799999,117224.0,117851.0,117223.0,117557.0,773.6063,10051
1753498800000,1753502399999,117558.0,117692.0,117545.0,117571.0,342.34921,6519
1753502400000,1753505999999,117572.0,117620.0,117480.0,117575.0,216.38382,6014
1753506000000,1753509599999,117575.0,117633.0,117497.0,117533.0,322.94952,5614
1753509600000,1753513199999,117534.0,117541.0,117410.0,117438.0,216.27311,4760
1753513200000,1753516799999,117438.0,117467.0,117407.0,117407.0,155.22821,4016
1753516800000,1753520399999,117408.0,117700.0,117407.0,117639.0,305.1611,5954
1753520400000,1753523999999,117640.0,117714.0,117528.0,117670.0,247.32626,5684
1753524000000,1753527599999,117670.0,118328.0,117620.0,118059.0,1334.82939,13942
1753527600000,1753531199999,118059.0,118166.0,117863.0,117864.0,485.59136,9505
1753531200000,1753534799999,117863.0,118096.0,117847.0,117999.0,363.0678,6099
1753534800000,1753538399999,117998.0,118322.0,117928.0,118220.0,433.35536,7552
1753538400000,1753541999999,118219.0,118310.0,118034.0,118150.0,544.62427,7419
1753542000000,1753545599999,118149.0,118241.0,117910.0,118210.0,951.1672,9024
1753545600000,1753549199999,118210.0,118280.0,118081.0,118159.0,331.18365,6374
1753549200000,1753552799999,118159.0,118175.0,118054.0,118093.0,185.12568,4810
1753552800000,1753556399999,118094.0,118185.0,118000.0,118156.0,339.61709,5916
1753556400000,1753559999999,118156.0,118354.0,118100.0,118307.0,490.27526,6140
1753560000000,1753563599999,118307.0,118307.0,117950.0,118014.0,271.33963,5388
1753563600000,1753567199999,118013.0,118144.0,117927.0,118102.0,441.13964,6535
1753567200000,1753570799999,118101.0,118345.0,118040.0,118077.0,702.98007,9348
1753570800000,1753574399999,118078.0,118111.0,117950.0,117960.0,316.77731,5043
1753574400000,1753577999999,117961.0,118000.0,117862.0,117998.0,620.30715,6682
1753578000000,1753581599999,117998.0,118250.0,117971.0,118156.0,520.42571,6468
1753581600000,1753585199999,118156.0,118458.0,118062.0,118387.0,303.35289,6534
1753585200000,1753588799999,118386.0,118387.0,118154.0,118243.0,196.84585,4588
1753588800000,1753592399999,118243.0,118334.0,118209.0,118290.0,216.65013,4076
1753592400000,1753595999999,118290.0,118374.0,118240.0,118350.0,130.11165,3950
1753596000000,1753599599999,118350.0,118551.0,118268.0,118357.0,318.96157,5057
1753599600000,1753603199999,118357.0,118357.0,118142.0,118184.0,211.76083,3391
1753603200000,1753606799999,118184.0,118223.0,118052.0,118069.0,253.96139,4326
1753606800000,1753610399999,118070.0,118098.0,117938.0,117995.0,488.92451,6054
1753610400000,1753613999999,117995.0,118342.0,117994.0,118256.0,462.46076,5593
1753614000000,1753617599999,118257.0,118306.0,118118.0,118145.0,221.56478,3445
1753617600000,1753621199999,118144.0,118165.0,117894.0,118138.0,884.18663,7645
1753621200000,1753624799999,118137.0,118289.0,118114.0,118250.0,745.91662,7117
1753624800000,1753628399999,118249.0,118550.0,118207.0,118475.0,673.01307,9968
