Timestamp,Open,High,Low,Close,Volume,Funding Rate,Position,Trading PnL,Funding PnL,Total PnL,Equity
2025-07-01T18:00:00+00:00,106199,106212,105650,105713,1037.28425,,0.0,0,0,0,10000
2025-07-01T19:00:00+00:00,105713,105759,105302,105371,2691.65843,,0.0,0,0,0,10000
2025-07-01T20:00:00+00:00,105371,105960,105197,105871,1901.7187,,0.0,0,0,0,10000
2025-07-01T21:00:00+00:00,105871,106058,105682,105735,998.2412,,0.0,0,0,0,10000
2025-07-01T22:00:00+00:00,105735,105866,105549,105557,501.70747,,0.0,0,0,0,10000
2025-07-01T23:00:00+00:00,105558,105662,105300,105620,1044.79715,,0.0,0,0,0,10000
2025-07-02T00:00:00+00:00,105621,105739,105316,105328,700.65501,,0.0,0,0,0,10000
2025-07-02T01:00:00+00:00,105327,105745,105005,105683,1225.1291,,0.0,0,0,0,10000
2025-07-02T02:00:00+00:00,105683,105888,105485,105880,808.33593,,0.0,0,0,0,10000
2025-07-02T03:00:00+00:00,105880,106172,105833,106143,706.74419,,0.0,0,0,0,10000
2025-07-02T04:00:00+00:00,106144,106345,106081,106345,413.33461,,0.0,0,0,0,10000
2025-07-02T05:00:00+00:00,106345,106680,106260,106640,2481.3517,,0.0,0,0,0,10000
2025-07-02T06:00:00+00:00,106641,107020,106627,107019,1397.49779,,0.0,0,0,0,10000
2025-07-02T07:00:00+00:00,107020,107182,106833,107085,1169.63496,,0.0,0,0,0,10000
2025-07-02T08:00:00+00:00,107085,107683,107085,107680,1896.87803,,0.0,0,0,0,10000
2025-07-02T09:00:00+00:00,107680,107720,107466,107568,769.24761,,0.0,0,0,0,10000
2025-07-02T10:00:00+00:00,107568,107788,107566,107784,537.91094,,0.0,0,0,0,10000
2025-07-02T11:00:00+00:00,107785,107785,107293,107468,1292.25093,,0.0,0,0,0,10000
2025-07-02T12:00:00+00:00,107467,107468,107158,107338,1412.01745,,0.0,0,0,0,10000
2025-07-02T13:00:00+00:00,107339,107948,107243,107728,1716.04959,,0.0,0,0,0,10000
2025-07-02T14:00:00+00:00,107729,108186,107611,108121,2380.15096,,0.0,0,0,0,10000
2025-07-02T15:00:00+00:00,108120,108769,108099,108735,3747.59944,,0.0,0,0,0,10000
2025-07-02T16:00:00+00:00,108734,109721,108630,109349,6987.709,,0.0,0,0,0,10000
2025-07-02T17:00:00+00:00,109349,109695,108802,109093,3102.7,,0.0,0,0,0,10000
2025-07-02T18:00:00+00:00,109092,109503,108956,109503,1290.73785,,0.0,0,0,0,10000
2025-07-02T19:00:00+00:00,109503,109642,109251,109617,1118.08936,,0.0,0,0,0,10000
2025-07-02T20:00:00+00:00,109617,109618,109087,109125,997.53318,,0.0,0,0,0,10000
2025-07-02T21:00:00+00:00,109126,109519,109119,109407,588.96775,,0.0,0,0,0,10000
2025-07-02T22:00:00+00:00,109407,109471,109080,109113,637.95474,,0.0,0,0,0,10000
2025-07-02T23:00:00+00:00,109114,109140,108676,108808,1394.37181,,0.0,0,0,0,10000
2025-07-03T00:00:00+00:00,108809,109080,108691,108907,735.19395,,0.0,0,0,0,10000
2025-07-03T01:00:00+00:00,108908,109080,108784,108960,570.08644,,0.0,0,0,0,10000
2025-07-03T02:00:00+00:00,108961,108961,108490,108694,1266.88285,,0.0,0,0,0,10000
2025-07-03T03:00:00+00:00,108695,108786,108599,108605,413.35038,,0.0,0,0,0,10000
2025-07-03T04:00:00+00:00,108606,108965,108535,108754,288.73537,,0.0,0,0,0,10000
2025-07-03T05:00:00+00:00,108755,109356,108755,109311,643.91966,,0.0,0,0,0,10000
2025-07-03T06:00:00+00:00,109311,109528,109207,109430,644.24703,,0.0,0,0,0,10000
2025-07-03T07:00:00+00:00,109430,109430,109115,109271,398.78494,,0.0,0,0,0,10000
2025-07-03T08:00:00+00:00,109271,109536,109270,109348,431.48358,,0.0,0,0,0,10000
2025-07-03T09:00:00+00:00,109348,110244,109339,109920,2040.67748,,0.0,0,0,0,10000
2025-07-03T10:00:00+00:00,109921,109978,109600,109810,544.51224,,0.0,0,0,0,10000
2025-07-03T11:00:00+00:00,109811,109811,109551,109560,784.14573,,0.0,0,0,0,10000
2025-07-03T12:00:00+00:00,109560,109891,108707,109152,3011.47399,,0.0,0,0,0,10000
2025-07-03T13:00:00+00:00,109152,110495,109108,110250,3306.85979,,0.0,0,0,0,10000
2025-07-03T14:00:00+00:00,110251,110476,109526,109686,2940.73864,,0.0,0,0,0,10000
2025-07-03T15:00:00+00:00,109687,109790,109045,109088,1677.32218,,0.0,0,0,0,10000
2025-07-03T16:00:00+00:00,109088,109610,108975,109230,1446.09948,,0.0,0,0,0,10000
2025-07-03T17:00:00+00:00,109229,109596,109225,109493,515.34361,,0.0,0,0,0,10000
2025-07-03T18:00:00+00:00,109493,109687,109295,109622,788.09876,,0.0,0,0,0,10000
2025-07-03T19:00:00+00:00,109625,109867,109590,109761,1214.76404,,0.0,0,0,0,10000
2025-07-03T20:00:00+00:00,109762,109923,109750,109922,686.26107,,0.0,0,0,0,10000
2025-07-03T21:00:00+00:00,109922,109992,109670,109759,861.90893,,0.0,0,0,0,10000
2025-07-03T22:00:00+00:00,109759,109850,109630,109675,287.28336,,0.0,0,0,0,10000
2025-07-03T23:00:00+00:00,109675,109791,109505,109551,392.49485,,0.0,0,0,0,10000
2025-07-04T00:00:00+00:00,109551,109682,109334,109441,318.22035,,0.0,0,0,0,10000
2025-07-04T01:00:00+00:00,109440,109723,109412,109461,202.24907,,0.0,0,0,0,10000
2025-07-04T02:00:00+00:00,109461,109461,109056,109144,647.95467,,0.0,0,0,0,10000
2025-07-04T03:00:00+00:00,109143,109336,109083,109188,428.50107,,0.0,0,0,0,10000
2025-07-04T04:00:00+00:00,109188,109270,108892,108913,718.3411,,0.0,0,0,0,10000
2025-07-04T05:00:00+00:00,108914,109179,108891,108967,724.76718,,0.0,0,0,0,10000
2025-07-04T06:00:00+00:00,108967,108991,108791,108991,585.19646,,0.0,0,0,0,10000
2025-07-04T07:00:00+00:00,108990,109113,108648,108661,668.91759,,0.0,0,0,0,10000
2025-07-04T08:00:00+00:00,108659,108839,108450,108706,883.82731,,0.0,0,0,0,10000
2025-07-04T09:00:00+00:00,108705,109024,108705,108936,568.80906,,0.0,0,0,0,10000
2025-07-04T10:00:00+00:00,108937,109019,108819,108852,299.28928,,0.0,0,0,0,10000
2025-07-04T11:00:00+00:00,108852,109065,108805,108844,272.83355,,0.0,0,0,0,10000
2025-07-04T12:00:00+00:00,108844,108934,108540,108683,819.36559,,0.0,0,0,0,10000
2025-07-04T13:00:00+00:00,108682,108789,107896,107936,3601.97015,,0.0,0,0,0,10000
2025-07-04T14:00:00+00:00,107935,108082,107450,107794,4696.65546,,0.0,0,0,0,10000
2025-07-04T15:00:00+00:00,107795,107948,107563,107563,1304.1012,,0.0,0,0,0,10000
2025-07-04T16:00:00+00:00,107564,107730,107308,107634,2236.41566,,0.0,0,0,0,10000
2025-07-04T17:00:00+00:00,107634,107938,107622,107880,870.10296,,0.0,0,0,0,10000
2025-07-04T18:00:00+00:00,107880,107887,107481,107500,488.83977,,0.0,0,0,0,10000
2025-07-04T19:00:00+00:00,107500,107661,107263,107494,904.84162,,0.0,0,0,0,10000
2025-07-04T20:00:00+00:00,107494,107832,107458,107694,495.8531,,0.0,0,0,0,10000
2025-07-04T21:00:00+00:00,107695,107957,107694,107923,426.33447,,0.0,0,0,0,10000
2025-07-04T22:00:00+00:00,107923,108280,107922,108271,861.00165,,0.0,0,0,0,10000
2025-07-04T23:00:00+00:00,108271,108272,107951,107993,546.98448,,0.0,0,0,0,10000
2025-07-05T00:00:00+00:00,107993,108250,107962,108217,264.21709,,0.0,0,0,0,10000
2025-07-05T01:00:00+00:00,108217,108217,107900,107991,327.5839,,0.0,0,0,0,10000
2025-07-05T02:00:00+00:00,107992,108104,107744,108074,308.82995,,0.0,0,0,0,10000
2025-07-05T03:00:00+00:00,108074,108277,108073,108153,289.34166,,0.0,0,0,0,10000
2025-07-05T04:00:00+00:00,108153,108419,108031,108151,423.79925,,0.0,0,0,0,10000
2025-07-05T05:00:00+00:00,108151,108192,108030,108141,248.69598,,0.0,0,0,0,10000
2025-07-05T06:00:00+00:00,108141,108303,108090,108279,316.02174,,0.0,0,0,0,10000
2025-07-05T07:00:00+00:00,108279,108279,108014,108070,333.04322,,0.0,0,0,0,10000
2025-07-05T08:00:00+00:00,108070,108138,107929,108030,228.44605,,0.0,0,0,0,10000
2025-07-05T09:00:00+00:00,108029,108130,107882,108096,496.71422,,0.0,0,0,0,10000
2025-07-05T10:00:00+00:00,108096,108213,108072,108094,148.60318,,0.0,0,0,0,10000
2025-07-05T11:00:00+00:00,108093,108222,108092,108109,144.83966,,0.0,0,0,0,10000
2025-07-05T12:00:00+00:00,108109,108165,107965,108154,335.63042,,0.0,0,0,0,10000
2025-07-05T13:00:00+00:00,108154,108259,108119,108133,510.46035,,0.0,0,0,0,10000
2025-07-05T14:00:00+00:00,108134,108247,108121,108211,339.29704,,0.0,0,0,0,10000
2025-07-05T15:00:00+00:00,108211,108212,108054,108069,349.29456,,0.0,0,0,0,10000
2025-07-05T16:00:00+00:00,108069,108090,107850,108089,898.1251,,0.0,0,0,0,10000
2025-07-05T17:00:00+00:00,108089,108150,107948,108065,466.52771,,0.0,0,0,0,10000
2025-07-05T18:00:00+00:00,108065,108066,107950,107991,280.96487,,0.0,0,0,0,10000
2025-07-05T19:00:00+00:00,107991,108158,107944,108133,319.0551,,0.0,0,0,0,10000
2025-07-05T20:00:00+00:00,108134,108134,107959,108071,252.67459,,0.0,0,0,0,10000
2025-07-05T21:00:00+00:00,108072,108122,108036,108071,135.52637,,0.0,0,0,0,10000
2025-07-05T22:00:00+00:00,108070,108186,108026,108185,230.35942,,0.0,0,0,0,10000
2025-07-05T23:00:00+00:00,108184,108230,108184,108191,259.92718,,0.0,0,0,0,10000
2025-07-06T00:00:00+00:00,108191,108232,108104,108211,197.09675,,0.0,0,0,0,10000
2025-07-06T01:00:00+00:00,108211,108211,108070,108190,184.60105,,0.0,0,0,0,10000
2025-07-06T02:00:00+00:00,108190,108274,108050,108051,459.34631,,0.0,0,0,0,10000
2025-07-06T03:00:00+00:00,108051,108092,108001,108039,171.753,,0.0,0,0,0,10000
2025-07-06T04:00:00+00:00,108040,108092,107923,107973,232.92472,,0.0,0,0,0,10000
2025-07-06T05:00:00+00:00,107973,108006,107955,107992,40.93757,,0.0,0,0,0,10000
2025-07-06T06:00:00+00:00,107992,108212,107982,108117,230.2915,,0.0,0,0,0,10000
2025-07-06T07:00:00+00:00,108116,108183,108040,108041,106.99652,,0.0,0,0,0,10000
2025-07-06T08:00:00+00:00,108040,108048,107960,107997,112.93201,,0.0,0,0,0,10000
2025-07-06T09:00:00+00:00,107996,108068,107810,107834,339.46012,,0.0,0,0,0,10000
2025-07-06T10:00:00+00:00,107834,108126,107777,107986,340.82748,,0.0,0,0,0,10000
2025-07-06T11:00:00+00:00,107987,108093,107946,108075,119.21144,,0.0,0,0,0,10000
2025-07-06T12:00:00+00:00,108075,108233,108045,108225,124.7086,,0.0,0,0,0,10000
2025-07-06T13:00:00+00:00,108226,109186,108190,108762,3099.66958,,0.0,0,0,0,10000
2025-07-06T14:00:00+00:00,108764,109043,108607,108932,848.41488,,0.0,0,0,0,10000
2025-07-06T15:00:00+00:00,108931,108962,108637,108889,622.86352,,0.0,0,0,0,10000
2025-07-06T16:00:00+00:00,108890,108941,108681,108841,558.8108,,0.0,0,0,0,10000
2025-07-06T17:00:00+00:00,108842,108964,108717,108912,376.93494,,0.0,0,0,0,10000
2025-07-06T18:00:00+00:00,108913,108915,108262,108471,1213.68864,,0.0,0,0,0,10000
2025-07-06T19:00:00+00:00,108471,108627,108288,108542,658.72338,,0.0,0,0,0,10000
2025-07-06T20:00:00+00:00,108543,108851,108542,108683,887.07446,,0.0,0,0,0,10000
2025-07-06T21:00:00+00:00,108683,109763,108663,109228,3130.84994,,0.0,0,0,0,10000
2025-07-06T22:00:00+00:00,109228,109541,109210,109232,1649.75266,,0.0,0,0,0,10000
2025-07-06T23:00:00+00:00,109235,109288,109007,109203,878.30549,,0.0,0,0,0,10000
2025-07-07T00:00:00+00:00,109204,109290,108814,108843,842.12622,,0.0,0,0,0,10000
2025-07-07T01:00:00+00:00,108843,109139,108702,109069,571.17135,,0.0,0,0,0,10000
2025-07-07T02:00:00+00:00,109069,109551,109069,109382,1194.19445,,0.0,0,0,0,10000
2025-07-07T03:00:00+00:00,109383,109759,109382,109448,881.35171,,0.0,0,0,0,10000
2025-07-07T04:00:00+00:00,109448,109510,109152,109152,546.57625,,0.0,0,0,0,10000
2025-07-07T05:00:00+00:00,109153,109223,109069,109103,231.09616,,0.0,0,0,0,10000
2025-07-07T06:00:00+00:00,109104,109213,108779,108797,832.28779,,0.0,0,0,0,10000
2025-07-07T07:00:00+00:00,108798,109067,108669,109067,165.48457,,0.0,0,0,0,10000
2025-07-07T08:00:00+00:00,109067,109099,108867,109028,400.02497,,0.0,0,0,0,10000
2025-07-07T09:00:00+00:00,109029,109031,108760,108875,430.81025,,0.0,0,0,0,10000
2025-07-07T10:00:00+00:00,108875,108945,108704,108705,266.89622,,0.0,0,0,0,10000
